dia,Zacatecas,Yucatán,Veracruz,Tlaxcala,Tamaulipas,Tabasco,Sonora,Sinaloa,San Luis Potosí,Quintana Roo,Querétaro,Puebla,Oaxaca,Nuevo León,Nayarit,Morelos,Michoacán,México,Jalisco,Hidalgo,Guerrero,Guanajuato,Durango,Ciudad de México,Colima,Coahuila,Chihuahua,Chiapas,Campeche,Baja California Sur,Baja California,Aguascalientes
37,0,74,1531596,0,1919,853,569,0,0,0,74,6434,1280,0,0,74,1920,2870,168,0,1280,4303,1280,0,0,0,0,2880,1917,0,0,0
38,0,112,1387537,0,2876,1280,853,0,0,0,112,9612,1920,0,0,112,2879,4295,253,0,1919,6437,1919,0,0,0,0,4318,2871,0,0,0
39,0,168,1255394,0,4310,1920,1280,0,0,0,168,14329,2879,0,0,168,4316,6420,379,0,2877,9619,2877,0,0,0,0,6472,4299,0,0,0
40,0,253,1134761,0,6454,2878,1920,0,0,0,252,21297,4315,0,0,252,6467,9579,569,0,4311,14346,4312,0,0,0,0,9696,6428,0,0,0
41,0,379,1024999,0,9657,4314,2878,0,0,0,379,31511,6465,0,0,378,9686,14256,854,0,6457,21333,6458,0,0,0,0,14519,9599,0,0,0
42,0,569,925361,0,14431,6464,4314,0,0,0,568,46311,9682,0,0,567,14496,21135,1280,0,9662,31590,9665,0,0,0,0,21721,14301,0,0,0
43,0,853,835066,0,21524,9678,6463,0,0,0,852,67398,14487,0,0,848,21668,31152,1921,0,14443,46484,14448,0,0,0,0,32453,21234,0,0,0
44,0,1279,753340,0,32012,14479,9676,0,0,0,1277,96703,21648,50,0,1267,32335,45532,2880,0,21550,67771,21562,0,0,0,50,48392,31370,0,0,0
45,0,1916,679438,0,47413,21631,14474,0,0,0,1912,135966,32289,74,0,1891,48128,65734,4319,0,32070,97488,32098,0,0,0,74,71947,46005,0,0,0
46,0,2870,612660,0,69788,32250,21620,0,0,0,2861,185856,48027,112,0,2813,71361,93237,6474,0,47541,137569,47602,0,0,0,112,106502,66742,0,0,0
47,0,4296,552353,0,101792,47940,32227,0,0,0,4276,244629,71138,168,0,4166,105214,128997,9702,0,70069,188989,70202,0,0,0,168,156639,95328,0,0,0
48,0,6422,497913,0,146521,70946,47888,0,0,0,6378,306872,104725,253,0,6134,153840,172526,14531,0,102399,250393,102687,0,0,0,253,228211,133181,0,0,0
49,0,9584,448788,0,206949,104304,70832,0,0,0,9485,363700,152783,379,0,8950,222225,220790,21748,0,147808,316673,148418,0,0,0,379,327948,180472,0,0,0
50,0,14266,404471,50,284660,151877,104057,0,0,0,14048,405631,219987,569,0,12887,315459,267766,32513,0,209596,378816,210858,0,0,0,569,462118,234865,0,0,0
